COUNTY,COURT CODE,COURT NAME,ADDRESS,PHONE,FAX,JUDGE,CT ADMIN,COURT DAYS,OFFICE HOURS,
MONMOUTH,1330,ABERDEEN TWP MUNICIPAL COURT,1 ABERDEEN SQ ABERDEEN NJ 07747,732-583-4200,7325665912,"MICHAEL CELLI,JR",MICHELE T WIECZORECK,EVERY WEDNESDAY,8:30AM - 4:30PM,
ATLANTIC,101,ABSECON MUNICIPAL COURT,500 MILL ROAD ABSECON NJ 08201,609-641-0663,6096418456,JOHN H ROSENBERGER,MERRILEE CARLSON,MINDAYS,8:30AM - 4:30PM,
HUNTERDON,1001,ALEXANDRIA TWP MUNICIPAL COURT,ONE MUNICIPAL DR FLEMINGTON NJ 0882,908-782-8818,9088066478,CHARLES E. CARRO,BIANCA WATKING,,8:30AM - 4:30PM,
WARREN,2101,ALLAMUCHA TWP MUNICIPAL COURT,BOX A ALPHANO RD ALLAMUCHY NJ 07820,908-852-6667,9088520129,LOUIS MELLINGER,DAWN DWCKER,1ST AND 3RD TUESDAY,MON-THURS 9:00AM-2:00PM,
BERGEN,201,ALLENDALE BORO MUNICIPAL COURT,333 WARRREN AVE HO-HO-KUS NJ 07423,201-652-0699,2018251913,HARRY D NORTON,ROSEMARIE NOVELLI,3RD TUESDAY,MON-FRI 9:00A-4:00P CLOSED 1-2,
MONMOUTH,1301,ALLENHURST BORO MUNICIPAL CT,701 MAIN ST. BRADLEY BEACH NJ 07720,732-776-2999,7328975813,PAUL CAPOTORTO,PATRICIA MEGILL,VIRTUAL;OCT-APR:1 TUES; MAY-SEPT:2 TUESDAYS PER MON,MON - FRI 8:30AM-4:00PM,
MONMOUTH,1302,ALLENTOWN MUNICIPAL COURT,314 ROUTE 539 CREAM RIDGE NJ 08514,609-758-0262,6097585630,"SCOTT J BASEN, ESQ","KAREN SPICUZZA, CMCA",1ST & 3RD THURSDAY EACH MONTH,CALL FOR HOURS,
SALEM,1701,ALLOWAY TWP MUNICIPAL,1180 ROUTE 40 PILESGROVE NJ 08098,856-769-1275,8569352993,NICHOLAS T LACOVARA,DEBRA A. SCOTT,,M/TH 9AM-1PM T/W 9AM-3PM,
WARREN,2102,ALPHA BORO MUNICIPAL COURT,1001 EAST BLVD ALPHA NJ 08865,908-454-3211,9084544083,GERARD SHAMEY,LAURI KAULIUS,4TH WEDNESDAY,"COURT AT-1001 E.BLVD, ALPHA,NJ",
BERGEN,202,ALPINE BORO MUNICIPAL COURT,100 CHURCH ST ALPINE NJ 07620,201-768-6866,2017841407,ROBERT J COHAN,DAWN CURATOLA,2ND THURSDAY,TUES & THURS 4:30PM - 6:30PM,
SUSSEX,1902,ANDOVER JOINT MUNICIPAL COURT,134 NEWTON-SPARTA RD NEWTON NJ 07860,973-306-0688,9733836328,JAMES G DEVINE,MICHAEL ALLATTA,"2ND,3RD,4TH WEDNESDAY",MON - FRI 8:00AM - 4:00PM,
MONMOUTH,1303,ASBURY PARK MUNICIPAL COURT,ONE MUNICIPAL PLAZA ASBURY PARK NJ 07712,732-775-1765,7329886935,RONALD J TROPPOLI,JOANNE N PILLIOD,EVERY FRIDAY,8:00 AM - 4:00 PM,
MONMOUTH,1305,ATL HIGHLANDS MUNICIPAL COURT,100 FIRST AVE ATL HIGHLNDS NJ 07716,732-291-3225,7322913100,RICHARD C LEAHEY JR,JANICE SWAGGERTY,2ND & 4TH TUESDAYS,MON - FRI 8:30AM - 4:30PM,
ATLANTIC,102,ATLANTIC CITY MUNICIPAL COURT,2715 ATLANTIC AVENUE ATLANTIC CITY NJ 08401,609-347-5560,6093475450,BILLIE J MOORE CJMC,GINA Y HOLMES,MONDAY-THURSDAY,8:30AM - 6:00PM,
ATLANTIC,180,ATLANTIC COUNTY CENTRAL MC,5905 MAIN STREET MAYS LANDING NJ 08330,609-909-5999,6099095992,IMOTHY P MAGUIRE,ANTOINETTE TUMMON,MODAY-FRIDAY,MON - FRI 8:30AM - 4:30PM,
CAMDEN,401,AUDUBON BORO MUNICIPAL COURT,606 W. NICHOLSON RD. AUDUBON NJ 0816,856-547-0712,,CHARLES SHIMBERG,JEAN L PHILLIPS,COURT HELD MONDAYS @ 9:00 AM VIRTUAL & IN PERSON,9:00 AM - 4:00 PM M-F,
CAMDEN,402,AUDUBON PARK BORO COURT,135 HADDON AVE HADDON TWP NJ 07108,856-854-1176,8568588335,ROBERT A. GLEANER,LAURA DONOHUE,,8:30AM - 4:00PM M-F,
CAPE MAY,501,AVALON MUNICIPAL COURT,3100 DUNE DRIVE AVALON,609-967-4457,6099675659,ANDREW J CAFIERO,WENDY TORRONI,MONDAYS,8:30AM - 4:00PM,
MONMOUTH,1306,AVON-BY-THE-SEA MUNICIPAL CT,701 MAIN ST BRADLEY BEACH NJ 07720,732-776-2999,7328975813,PAUL J CAPOTORTO,PATRICIA MEGILL,"VIRTUAL, ONE TUESDAY PER MONTH",MON - FRI 8:30AM - 4:00PM,
OCEAN,1501,BARNEGAT LIGHT MUNICIPAL COURT,PO BOX 966 BARNEGT LIGHT NJ 08006,609-361-6661,6094947337,DAMIAN G. MURRAY,MAUREEN DANIELS,1ST WEDNESDAY,MON & THURS 4PM - 6PM,
